VG,IDS,IGS,transistor,diff_VG,direction,log_IDS,sqrt_IDS
-8.5,1.9401555562126305e-07,3.4009147498181846e-07,4,-0.10000038146972656,volta,-6.7121634481644,0.0004404719691663285
-8.600000381469727,1.9518222416081699e-07,3.4368605383860995e-07,4,-0.10000038146972656,volta,-6.709559737388576,0.0004417943233687108
-8.699999809265137,1.9651565708045382e-07,3.473502658835059e-07,4,-0.09999942779541016,volta,-6.706602842170206,0.0004433008651925392
-8.800000190734863,1.9792614125435648e-07,3.510433828068926e-07,4,-0.10000038146972656,volta,-6.703496842212221,0.0004448889088911483
-8.899999618530273,1.9947023588429147e-07,3.547700373474072e-07,4,-0.09999942779541016,volta,-6.70012189875204,0.0004466209084719293
-9.0,2.009555828408338e-07,3.583577097288071e-07,4,-0.10000038146972656,volta,-6.696899923966658,0.0004482806964847291
-9.0,2.1213054424151778e-07,3.7206260117272905e-07,5,,volta,-6.673396793810241,0.00046057631749962764
-8.899999618530273,2.0718074722481106e-07,3.639542569544574e-07,5,0.10000038146972656,ida,-6.683650604923495,0.0004551711186189333
-8.800000190734863,2.0296634772876132e-07,3.5702927903003e-07,5,0.09999942779541016,ida,-6.6925759631076485,0.00045051786615933593
-8.699999809265137,1.9921752425489103e-07,3.5078727478321525e-07,5,0.10000038146972656,ida,-6.700672461331747,0.0004463379036726447
-8.600000381469727,1.9573870702060958e-07,3.4494502187953913e-07,5,0.09999942779541016,ida,-6.708323284800597,0.00044242367366655413
-8.5,1.9247940485911386e-07,3.393780616534059e-07,5,0.10000038146972656,ida,-6.715615732828432,0.0004387247484005363
-8.399999618530273,1.8935223522476008e-07,3.3398879395463155e-07,5,0.10000038146972656,ida,-6.7227295638463005,0.0004351462228087934
-8.300000190734863,1.8631878617725306e-07,3.286887988451781e-07,5,0.09999942779541016,ida,-6.729743353789811,0.00043164659870923697
-8.199999809265137,1.8340432461627643e-07,3.235379608668154e-07,5,0.10000038146972656,ida,-6.736590428018005,0.00042825731122337707
-8.100000381469727,1.806079410471284e-07,3.18546881317161e-07,5,0.09999942779541016,ida,-6.743263158357346,0.00042497993016980037
-8.0,1.7779083805180562e-07,3.1348756124316424e-07,5,0.10000038146972656,ida,-6.750090622927478,0.00042165250865114703
-7.900000095367432,1.7504126503808948e-07,3.085151263348962e-07,5,0.09999990463256836,ida,-6.7568595566522145,0.0004183793315139856
-7.800000190734863,1.7243186789528409e-07,3.0376534709830594e-07,5,0.09999990463256836,ida,-6.763382467211581,0.00041524916362984293
-7.699999809265137,1.6985568151994812e-07,2.990526013491035e-07,5,0.10000038146972656,ida,-6.769919921790746,0.00041213551353887
-7.599999904632568,1.6731209484532883e-07,2.9437080684147077e-07,5,0.09999990463256836,ida,-6.776472663133697,0.00040903801149199916
-7.5,1.6478098530114949e-07,2.897091633258242e-07,5,0.09999990463256836,ida,-6.783092904624505,0.0004059322422537405
-7.400000095367432,1.62161313710385e-07,2.848640860975138e-07,5,0.09999990463256836,ida,-6.790052745969833,0.00040269257965647317
-7.300000190734863,1.596781942225789e-07,2.8024976472806884e-07,5,0.09999990463256836,ida,-6.796754387401919,0.000399597540310972
-7.199999809265137,1.5707999523328908e-07,2.754466947862966e-07,5,0.10000038146972656,ida,-6.803879120580612,0.0003963331871459783
-7.099999904632568,1.5455731272595585e-07,2.707536452817294e-07,5,0.09999990463256836,ida,-6.81091044190189,0.0003931377782991045
-7.0,1.5195918479093962e-07,2.6592348945086997e-07,5,0.09999990463256836,ida,-6.818273044952446,0.00038981942587682774
-6.900000095367432,1.4950043691897008e-07,2.6131226604775293e-07,5,0.09999990463256836,ida,-6.825357538100619,0.00038665286358563293
-6.800000190734863,1.4711527285271586e-07,2.5682868454168784e-07,5,0.09999990463256836,ida,-6.832342238412201,0.00038355608827486475
-6.699999809265137,1.4473415888005547e-07,2.5235615908059117e-07,5,0.10000038146972656,ida,-6.8394289584292425,0.00038043942866119367
-6.599999904632568,1.423699842462156e-07,2.4790529096208047e-07,5,0.09999990463256836,ida,-6.846581563018636,0.0003773194723920508
-6.5,1.3986893065975892e-07,2.436927388771437e-07,5,0.09999990463256836,ida,-6.85427874541919,0.0003739905488909565
-6.400000095367432,1.3783947849788092e-07,2.390661961726437e-07,5,0.09999990463256836,ida,-6.860626378667407,0.0003712673948758239
-6.300000190734863,1.3546430466249149e-07,2.3466823506623768e-07,5,0.09999990463256836,ida,-6.868175127892047,0.00036805475769576934
-6.199999809265137,1.3305175627920107e-07,2.3035536855786631e-07,5,0.10000038146972656,ida,-6.875979388400593,0.00036476260263245335
-6.099999904632568,1.3050602376551979e-07,2.2616205797021394e-07,5,0.09999990463256836,ida,-6.884369442136051,0.0003612561747091941
-6.0,1.2829563900140784e-07,2.21483915652243e-07,5,0.09999990463256836,ida,-6.89178810582159,0.0003581838061685757
-5.900000095367432,1.2606726329522644e-07,2.16912809491987e-07,5,0.09999990463256836,ida,-6.899397674854654,0.0003550595207781738
-5.800000190734863,1.2363884138721914e-07,2.1246209769287816e-07,5,0.09999990463256836,ida,-6.907845073339362,0.00035162315251874293
-5.699999809265137,1.21208117320748e-07,2.081847583212948e-07,5,0.10000038146972656,ida,-6.916468294447283,0.00034814956171270415
-5.599999904632568,1.1901407503955852e-07,2.0375527753913047e-07,5,0.09999990463256836,ida,-6.924401674317194,0.00034498416636065854
-5.5,1.1677433775503232e-07,1.993050915416461e-07,5,0.09999990463256836,ida,-6.932652586983024,0.0003417226035178714
