Time (s)	Vds (V)	Ids (A)	Vgs (V)	Igs (A)
1.4054900000000001E+2	-1.0000000000000000E+0	-5.0268795348529238E-8	-1.0199999809265139E+0	-2.4576664259257089E-8
1.4154800000000000E+2	-1.0000000000000000E+0	-8.1492224524026824E-8	-1.0800000429153440E+0	-2.5120581170767761E-8
1.4254800000000000E+2	-1.0000000000000000E+0	-1.3359975525872869E-7	-1.1399999856948850E+0	-2.5478804843714901E-8
1.4356600000000000E+2	-1.0000000000000000E+0	-2.0436299053017140E-7	-1.2000000476837160E+0	-2.6294351584965628E-8
1.4455000000000001E+2	-1.0000000000000000E+0	-3.0990599952929188E-7	-1.2599999904632571E+0	-2.7242505140634421E-8
1.4554800000000000E+2	-1.0000000000000000E+0	-4.5538186554949789E-7	-1.3200000524520870E+0	-2.8504359761427619E-8
1.4654700000000000E+2	-1.0000000000000000E+0	-6.4817237444003695E-7	-1.3799999952316280E+0	-3.0135737461023382E-8
1.4754800000000000E+2	-1.0000000000000000E+0	-8.9585302021077951E-7	-1.4400000572204590E+0	-3.2102047242688059E-8
1.4854700000000000E+2	-1.0000000000000000E+0	-1.2121116697016989E-6	-1.5000000000000000E+0	-3.4070446019995870E-8
1.4956500000000000E+2	-1.0000000000000000E+0	-1.5785311688887300E-6	-1.5599999427795410E+0	-3.6755441357172458E-8
1.5054700000000000E+2	-1.0000000000000000E+0	-2.0174431938357880E-6	-1.6200000047683720E+0	-3.9438248222722898E-8
1.5154800000000000E+2	-1.0000000000000000E+0	-2.5148081022052789E-6	-1.6799999475479130E+0	-4.1959832941529378E-8
1.5261799999999999E+2	-1.0000000000000000E+0	-3.0564581265934980E-6	-1.7400000095367429E+0	-4.5625995426235022E-8
1.5354700000000000E+2	-1.0000000000000000E+0	-3.6306939819041868E-6	-1.7999999523162840E+0	-4.8966491306146047E-8
1.5456600000000000E+2	-1.0000000000000000E+0	-4.2239271351718344E-6	-1.8600000143051150E+0	-5.3099405761258822E-8
1.5554800000000000E+2	-1.0000000000000000E+0	-4.8213682930509094E-6	-1.9199999570846560E+0	-5.7292950828014000E-8
1.5654800000000000E+2	-1.0000000000000000E+0	-5.5884179346321616E-6	-1.9800000190734861E+0	-5.8782912759625112E-8
1.5861500000000001E+2	-1.0000000000000000E+0	-6.1677837948082006E-6	-2.0399999618530269E+0	-6.4328887106057664E-8
1.5954800000000000E+2	-1.0000000000000000E+0	-6.7529749685490970E-6	-2.0999999046325679E+0	-6.9565949445404840E-8
1.6054900000000001E+2	-1.0000000000000000E+0	-7.3297533162985928E-6	-2.1600000858306880E+0	-7.4910644798364956E-8
1.6154800000000000E+2	-1.0000000000000000E+0	-7.9048604675335810E-6	-2.2200000286102290E+0	-8.0359868093182740E-8
1.6254800000000000E+2	-1.0000000000000000E+0	-8.4672601587953977E-6	-2.2799999713897710E+0	-8.5976516572827677E-8
1.6354599999999999E+2	-1.0000000000000000E+0	-9.0282064775237814E-6	-2.3399999141693120E+0	-9.1736282570309413E-8
1.6454700000000000E+2	-1.0000000000000000E+0	-9.5814793894533068E-6	-2.4000000953674321E+0	-9.7651984276581061E-8
1.6554700000000000E+2	-1.0000000000000000E+0	-1.0142040082428140E-5	-2.4600000381469731E+0	-1.0529804228553990E-7
1.6658199999999999E+2	-1.0000000000000000E+0	-1.0658633073035160E-5	-2.5199999809265141E+0	-1.1023616508509800E-7
1.6754700000000000E+2	-1.0000000000000000E+0	-1.0657524398993701E-5	-2.4600000381469731E+0	-9.2285183939111448E-8
1.6863100000000000E+2	-1.0000000000000000E+0	-1.0429524991195651E-5	-2.4000000953674321E+0	-8.2640006837664259E-8
1.6954800000000000E+2	-1.0000000000000000E+0	-1.0155367817787919E-5	-2.3399999141693120E+0	-7.2856011001931620E-8
1.7055000000000001E+2	-1.0000000000000000E+0	-9.8290156529401429E-6	-2.2799999713897710E+0	-6.4200520455415244E-8
1.7156600000000000E+2	-1.0000000000000000E+0	-9.4902679848019034E-6	-2.2200000286102290E+0	-5.5986834723853462E-8
1.7254900000000001E+2	-1.0000000000000000E+0	-9.0835346782114357E-6	-2.1600000858306880E+0	-4.8506141325788121E-8
1.7354700000000000E+2	-1.0000000000000000E+0	-8.6435611592605710E-6	-2.0999999046325679E+0	-4.1611325940493771E-8
1.7454800000000000E+2	-1.0000000000000000E+0	-8.1600446719676256E-6	-2.0399999618530269E+0	-3.5206198845116887E-8
1.7554800000000000E+2	-1.0000000000000000E+0	-7.6429432738223113E-6	-1.9800000190734861E+0	-2.9343318885821649E-8
1.7654800000000000E+2	-1.0000000000000000E+0	-7.1651611506240442E-6	-1.9199999570846560E+0	-2.4484121396994851E-8
1.7825299999999999E+2	-1.0000000000000000E+0	-6.5665385591273662E-6	-1.8600000143051150E+0	-1.7711782263063469E-8
1.7855000000000001E+2	-1.0000000000000000E+0	-5.9135900301043884E-6	-1.7999999523162840E+0	-1.3822258004836390E-8
1.7955099999999999E+2	-1.0000000000000000E+0	-5.3082917474966962E-6	-1.7400000095367429E+0	-9.6974970276164640E-9
1.8054599999999999E+2	-1.0000000000000000E+0	-4.6956620280980133E-6	-1.6799999475479130E+0	-6.0600400253463249E-9
1.8154599999999999E+2	-1.0000000000000000E+0	-4.0937279663921800E-6	-1.6200000047683720E+0	-2.8297544307775979E-9
1.8254700000000000E+2	-1.0000000000000000E+0	-3.5204718642489752E-6	-1.5599999427795410E+0	7.9071520164841757E-11
1.8354599999999999E+2	-1.0000000000000000E+0	-2.9790639928251039E-6	-1.5000000000000000E+0	1.9948482865572710E-9
1.8461300000000000E+2	-1.0000000000000000E+0	-2.4858009055606090E-6	-1.4400000572204590E+0	4.8465729207691774E-9
1.8554800000000000E+2	-1.0000000000000000E+0	-2.0509064597717952E-6	-1.3799999952316280E+0	6.6292882294760602E-9
1.8654900000000001E+2	-1.0000000000000000E+0	-1.6744064623708250E-6	-1.3200000524520870E+0	8.4617015616572644E-9
1.8755000000000001E+2	-1.0000000000000000E+0	-1.3578569451055959E-6	-1.2599999904632571E+0	1.0226512081601410E-8
1.8854800000000000E+2	-1.0000000000000000E+0	-1.0945057056233050E-6	-1.2000000476837160E+0	1.2006664107389041E-8
1.8954900000000001E+2	-1.0000000000000000E+0	-8.7671719484205823E-7	-1.1399999856948850E+0	1.3724637426548720E-8
1.9056600000000000E+2	-1.0000000000000000E+0	-7.0935595886112424E-7	-1.0800000429153440E+0	1.5884864978943369E-8
1.9154700000000000E+2	-1.0000000000000000E+0	-5.4319309583661379E-7	-1.0199999809265139E+0	1.7847513689162039E-8
1.9254800000000000E+2	-1.0000000000000000E+0	-4.2609454453668150E-7	-9.5999997854232788E-1	2.0319760096754180E-8
1.9354800000000000E+2	-1.0000000000000000E+0	-3.6122571600571968E-7	-8.9999997615814209E-1	2.3316109931670329E-8
1.9454900000000001E+2	-1.0000000000000000E+0	-2.9379057764344912E-7	-8.3999997377395630E-1	2.5733971398267389E-8
1.9554900000000001E+2	-1.0000000000000000E+0	-2.3620569322702070E-7	-7.7999997138977051E-1	2.2935914500976651E-8
1.9779599999999999E+2	-1.0000000000000000E+0	-1.7493891846243059E-7	-7.2000002861022949E-1	2.7693236148707001E-8
1.9854599999999999E+2	-1.0000000000000000E+0	-1.3745165006184829E-7	-6.6000002622604370E-1	3.0323697330914001E-8
1.9954900000000001E+2	-1.0000000000000000E+0	-1.0660803440032400E-7	-6.0000002384185791E-1	3.2479118061701229E-8
2.0061400000000000E+2	-1.0000000000000000E+0	-7.8896974287090415E-8	-5.4000002145767212E-1	3.4804248372211077E-8
