Time (s)	VDS	IDS	VG	IGS
1.6699799999999999E+2	-1.0000000000000000E+0	-1.1242544132983310E-5	-2.4000000953674321E+0	-1.5580117462832280E-7
1.6799600000000001E+2	-1.0000000000000000E+0	-1.1594021088967571E-5	-2.4600000381469731E+0	-1.6761541132837010E-7
1.6899600000000001E+2	-1.0000000000000000E+0	-1.1924052159884010E-5	-2.5199999809265141E+0	-1.8033098569958381E-7
1.6999600000000001E+2	-1.0000000000000000E+0	-1.1942279343202239E-5	-2.4600000381469731E+0	-1.5576696910102330E-7
1.7099700000000001E+2	-1.0000000000000000E+0	-1.1822258784377480E-5	-2.4000000953674321E+0	-1.3981390623030171E-7
1.7199700000000001E+2	-1.0000000000000000E+0	-1.1630487279035149E-5	-2.3399999141693120E+0	-1.2614333400051689E-7
1.7299799999999999E+2	-1.0000000000000000E+0	-1.1386060577933680E-5	-2.2799999713897710E+0	-1.1368393870725410E-7
1.7399799999999999E+2	-1.0000000000000000E+0	-1.1093592547695151E-5	-2.2200000286102290E+0	-1.0210573719859891E-7
1.7500000000000000E+2	-1.0000000000000000E+0	-1.0775279406516350E-5	-2.1600000858306880E+0	-8.9123801672030822E-8
1.7601499999999999E+2	-1.0000000000000000E+0	-1.0432886483613400E-5	-2.0999999046325679E+0	-8.0679420477736130E-8
1.7706500000000000E+2	-1.0000000000000000E+0	-1.0068141818919680E-5	-2.0399999618530269E+0	-6.9303027316891530E-8
1.7799900000000000E+2	-1.0000000000000000E+0	-9.6734056569403038E-6	-1.9800000190734861E+0	-5.9541285679642897E-8
1.7901400000000001E+2	-1.0000000000000000E+0	-9.3147573352325708E-6	-1.9199999570846560E+0	-5.0210832824859608E-8
1.8075899999999999E+2	-1.0000000000000000E+0	-8.9003624452743679E-6	-1.8600000143051150E+0	-3.8342989228112862E-8
1.8099700000000001E+2	-1.0000000000000000E+0	-8.4088169387541711E-6	-1.7999999523162840E+0	-3.1023752455894282E-8
1.8199900000000000E+2	-1.0000000000000000E+0	-7.9327564890263602E-6	-1.7400000095367429E+0	-2.2830402457429951E-8
1.8299799999999999E+2	-1.0000000000000000E+0	-7.4222862167516723E-6	-1.6799999475479130E+0	-1.5352069837604180E-8
1.8400000000000000E+2	-1.0000000000000000E+0	-6.8771432779612951E-6	-1.6200000047683720E+0	-8.5564373364377388E-9
1.8500000000000000E+2	-1.0000000000000000E+0	-6.2961207731859759E-6	-1.5599999427795410E+0	-2.4578332702418489E-9
1.8599600000000001E+2	-1.0000000000000000E+0	-5.6646690609341022E-6	-1.5000000000000000E+0	2.4234294571101600E-9
1.8699700000000001E+2	-1.0000000000000000E+0	-5.0015114538837216E-6	-1.4400000572204590E+0	6.4328551374615017E-9
1.8799700000000001E+2	-1.0000000000000000E+0	-4.3302725316607393E-6	-1.3799999952316280E+0	9.7321510850179038E-9
1.8899600000000001E+2	-1.0000000000000000E+0	-3.6757646739715710E-6	-1.3200000524520870E+0	1.2453567954651130E-8
1.8999700000000001E+2	-1.0000000000000000E+0	-3.0693756798427781E-6	-1.2599999904632571E+0	1.5051210056071799E-8
1.9099799999999999E+2	-1.0000000000000000E+0	-2.5298691070929640E-6	-1.2000000476837160E+0	1.7749036018699371E-8
1.9199700000000001E+2	-1.0000000000000000E+0	-2.0574557311192621E-6	-1.1399999856948850E+0	1.9426215303042230E-8
1.9306500000000000E+2	-1.0000000000000000E+0	-1.6567826151003830E-6	-1.0800000429153440E+0	2.3503041290950929E-8
1.9399700000000001E+2	-1.0000000000000000E+0	-1.3196694226280670E-6	-1.0199999809265139E+0	2.6691353127716869E-8
1.9499799999999999E+2	-1.0000000000000000E+0	-1.0411333732918140E-6	-9.5999997854232788E-1	3.0179904797478230E-8
1.9599799999999999E+2	-1.0000000000000000E+0	-8.0615126307748142E-7	-8.9999997615814209E-1	3.3110808317360352E-8
1.9701499999999999E+2	-1.0000000000000000E+0	-6.1810254692318267E-7	-8.3999997377395630E-1	3.6309863560290978E-8
1.9799899999999999E+2	-1.0000000000000000E+0	-3.7013720088907581E-7	-7.7999997138977051E-1	2.6613987458290470E-8
2.0025800000000001E+2	-1.0000000000000000E+0	-2.8013252517666842E-7	-7.2000002861022949E-1	3.3527733478422312E-8
2.0099700000000001E+2	-1.0000000000000000E+0	-1.9153083030687410E-7	-6.6000002622604370E-1	3.5221361827098008E-8
2.0200000000000000E+2	-1.0000000000000000E+0	-1.2491274503645400E-7	-6.0000002384185791E-1	3.5621201988078610E-8
2.0299899999999999E+2	-1.0000000000000000E+0	-7.5271479715866007E-8	-5.4000002145767212E-1	3.4897972511771507E-8
2.0401400000000001E+2	-1.0000000000000000E+0	-4.7192813212859619E-8	-4.7999998927116388E-1	3.4648966362738072E-8
2.0499899999999999E+2	-1.0000000000000000E+0	-2.8848123889702041E-8	-4.1999998688697809E-1	3.4730600617649543E-8
2.0599700000000001E+2	-1.0000000000000000E+0	-1.9018244756807689E-8	-3.6000001430511469E-1	3.5646699814151361E-8
2.0699700000000001E+2	-1.0000000000000000E+0	-1.4528453107232050E-8	-3.0000001192092901E-1	3.6936508962526198E-8
2.0799799999999999E+2	-1.0000000000000000E+0	-1.3374996221671150E-8	-2.3999999463558200E-1	3.7819038567477037E-8
2.0906500000000000E+2	-1.0000000000000000E+0	-1.3886392480344510E-8	-1.8000000715255740E-1	3.9469181700724221E-8
2.0999899999999999E+2	-1.0000000000000000E+0	-1.5271067965727532E-8	-1.1999999731779100E-1	4.0534423817462077E-8
2.1099700000000001E+2	-1.0000000000000000E+0	-1.6863667795519180E-8	-5.9999998658895493E-2	4.1573954945306468E-8
2.1199700000000001E+2	-1.0000000000000000E+0	-1.8473459206802542E-8	0.0000000000000000E+0	4.2733717009468819E-8
2.1299799999999999E+2	-1.0000000000000000E+0	-2.0081115437164950E-8	5.9999998658895493E-2	4.3901120960754269E-8
2.1399700000000001E+2	-1.0000000000000000E+0	-2.1894193125149289E-8	1.1999999731779100E-1	4.4988574643411987E-8
2.1500100000000000E+2	-1.0000000000000000E+0	-2.4010468280266650E-8	1.8000000715255740E-1	4.6364437622514742E-8
2.1599899999999999E+2	-1.0000000000000000E+0	-2.6516831397316309E-8	2.3999999463558200E-1	4.7985672324557527E-8
2.1699799999999999E+2	-1.0000000000000000E+0	-2.9544830582040049E-8	3.0000001192092901E-1	4.9959801629029237E-8
2.1799700000000001E+2	-1.0000000000000000E+0	-3.2449054998551219E-8	3.6000001430511469E-1	4.7960842408656390E-8
2.1994100000000000E+2	-1.0000000000000000E+0	-3.7094949334459670E-8	4.1999998688697809E-1	5.1701082526278703E-8
2.2099799999999999E+2	-1.0000000000000000E+0	-4.2464982641376991E-8	4.7999998927116388E-1	5.5998803816237341E-8
2.2199799999999999E+2	-1.0000000000000000E+0	-4.8382439388205973E-8	5.4000002145767212E-1	6.0829577819276892E-8
